Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
rolling_336,1751,432.0,15299.0,14845.071428571428,27.888668430335095,53.49994271919315,0.7874962260216198,-1.0507605820105834
seasonal_daily,1751,432.0,15299.0,14738.0,33.75231481481482,69.78009439714218,0.9530688280279757,-1.2986111111111112
seasonal_weekly,1751,432.0,15299.0,16113.0,36.25925925925926,75.2497692872063,1.0238577684816002,1.8842592592592593
direct_mean,1775,432.0,14626.0,14679.68918918919,25.737349328495164,47.571684327629065,0.7601897244571251,0.124280530530531
rolling_24,1775,432.0,14626.0,15299.0,26.25675154320988,48.173945968916115,0.7755310178221433,1.5578703703703705
rolling_168,1775,432.0,14626.0,15249.285714285714,26.047178130511465,47.94141234322855,0.7693409648831501,1.4427910052910047
rolling_336,1775,432.0,14626.0,15056.642857142857,25.847442680776016,47.602290904037815,0.7634414903661452,0.9968584656084657
seasonal_daily,1775,432.0,14626.0,15299.0,36.048611111111114,75.00547819499093,1.0647477095583209,1.5578703703703705
seasonal_weekly,1775,432.0,14626.0,15481.0,35.75694444444444,74.36983720020628,1.0561329139887872,1.9791666666666667
direct_mean,1799,432.0,16877.0,14678.973333333333,28.88341306584362,59.30235686822983,0.739327750455913,-5.088024691358026
rolling_24,1799,432.0,16877.0,14626.0,29.45177469135803,60.667432967280774,0.7538760838221643,-5.210648148148147
rolling_168,1799,432.0,16877.0,15127.142857142857,29.08151455026455,59.33268950372362,0.7443985474737386,-4.05059523809524
rolling_336,1799,432.0,16877.0,15133.285714285714,29.091242283950617,59.08044619078756,0.7446475479449349,-4.0363756613756605
seasonal_daily,1799,432.0,16877.0,14626.0,37.048611111111114,76.80728348468195,0.9483320495348699,-5.210648148148148
seasonal_weekly,1799,432.0,16877.0,15415.0,35.51851851851852,76.12407634907632,0.9091663210286188,-3.384259259259259
direct_mean,1823,432.0,13871.0,14707.894736842105,26.704762122319693,55.672213139768196,0.8316961456882782,1.9372563352826508
rolling_24,1823,432.0,13871.0,16877.0,28.77797067901234,57.68021861607986,0.8962643885324297,6.958333333333331
rolling_168,1823,432.0,13871.0,15336.0,26.97674162257496,56.210262201688444,0.8401667061460877,3.391203703703706
rolling_336,1823,432.0,13871.0,15291.071428571428,27.052083333333332,56.06802946176212,0.8425131569461466,3.2872023809523805
seasonal_daily,1823,432.0,13871.0,16877.0,36.19444444444444,81.88895484695067,1.127243890130488,6.958333333333333
seasonal_weekly,1823,432.0,13871.0,14685.0,32.93981481481482,74.25640638280908,1.0258813351596856,1.8842592592592593
direct_mean,1847,432.0,14359.0,14697.025974025975,25.533742684784354,46.10317957609568,0.7681995152745206,0.7824675324675321
rolling_24,1847,432.0,14359.0,13871.0,25.17997685185185,45.84189840004178,0.7575562365067205,-1.1296296296296293
rolling_168,1847,432.0,14359.0,15219.714285714286,25.731371252204585,46.32535922146729,0.7741453012711458,1.9923941798941796
rolling_336,1847,432.0,14359.0,15123.92857142857,25.76782958553792,46.28134443163564,0.7752421743124439,1.770667989417988
